account_id,customer_id,account_type,account_status,currency,open_date,close_date,risk_rating,branch_code,branch_city,current_balance,avg_monthly_balance_6m,credit_limit,credit_utilization_pct,overdraft_enabled,card_type,is_joint_account,num_linked_devices,mobile_banking_enrolled,last_login_date,avg_monthly_txn_count,account_tier
ACC_100001,CUST_10001,SAVINGS,ACTIVE,USD,2019-06-05,,LOW,BR001,Mumbai,24500.00,21000.00,0.00,0.00,N,CLASSIC,N,2,Y,,22,SILVER
ACC_100002,CUST_10002,SAVINGS,ACTIVE,USD,2019-06-05,,LOW,BR001,Mumbai,24500.00,21000.00,0.00,0.00,N,CLASSIC,N,2,Y,,22,SILVER
ACC_100003,CUST_10003,SAVINGS,ACTIVE,USD,2019-06-05,,LOW,BR001,Mumbai,24500.00,21000.00,0.00,0.00,N,CLASSIC,N,2,Y,,22,SILVER
ACC_100004,CUST_10004,SAVINGS,ACTIVE,USD,2019-06-05,,LOW,BR001,Mumbai,24500.00,21000.00,0.00,0.00,N,CLASSIC,N,2,Y,,22,SILVER
ACC_20001,CUST_20001,CURRENT,ACTIVE,USD,2019-06-05,,LOW,BR001,Mumbai,88000.00,21000.00,0.00,0.00,N,CLASSIC,N,2,Y,,22,GOLD
ACC_20002,CUST_20002,CURRENT,ACTIVE,USD,2019-06-05,,LOW,BR014,Mumbai,51200.00,21000.00,0.00,0.00,N,CLASSIC,N,2,Y,,22,SILVER
ACC_20003,CUST_20003,CURRENT,ACTIVE,USD,2019-06-05,,LOW,BR001,Mumbai,6100.00,7400.00,0.00,0.00,N,CLASSIC,N,2,Y,,22,SILVER
ACC_20004,CUST_20004,CURRENT,ACTIVE,USD,2019-06-05,,HIGH,BR001,Mumbai,143000.00,21000.00,0.00,0.00,N,CLASSIC,N,2,Y,,22,PLATINUM
ACC_20005,CUST_20005,SAVINGS,ACTIVE,USD,2019-06-05,,LOW,BR001,Mumbai,14200.00,21000.00,0.00,0.00,N,CLASSIC,N,2,Y,,18,SILVER
ACC_20006,CUST_20006,CURRENT,ACTIVE,USD,2019-06-05,,LOW,BR001,Mumbai,37000.00,21000.00,0.00,0.00,N,CLASSIC,N,2,Y,,22,SILVER
ACC_20007,CUST_20007,CURRENT,ACTIVE,USD,2019-06-05,,HIGH,BR001,Mumbai,264000.00,21000.00,0.00,0.00,N,INFINITE,N,2,Y,,22,PLATINUM
ACC_20008,CUST_20008,SAVINGS,DORMANT,USD,2019-06-05,,LOW,BR001,Mumbai,310.00,310.00,0.00,0.00,N,CLASSIC,N,2,Y,,0,BASIC
ACC_20009,CUST_20009,CURRENT,ACTIVE,USD,2019-06-05,,HIGH,BR031,Surat,9800.00,11500.00,0.00,0.00,N,CLASSIC,N,2,Y,,22,SILVER
